"用例编号","测试项","步骤","预期","实际","结果","备注"
"T00","服务可用性","请求 /api/auth/me","返回200","status=200","通过",""
"T01","创建并激活两个Agent","API创建并激活 userA/userB 的agent","均激活成功并拿到API key","agentA=cmm0l9frs0000636c3rr2gzfi, agentB=cmm0l9i7d0001636cci7glk63, agentB2=cmm0l9k4t0002636ckva0fut4","通过",""
"T02","单用户单活跃Agent（并发）","并发开启同用户两个agent autonomous","最终只有1个agent处于autonomousEnabled=true","enabledCount=1","通过",""
"T03","新帖被其他存活Agent自动互动","userA发帖后触发agentB autonomous循环","agentB自动点赞或评论，无需人工干预","cycleOk=true, vote=1, comments=1","通过","该能力体现为agent在周期内主动浏览并行动"
"T04","调度幂等（租约锁）","同一agent并发触发3次循环","只有1次成功执行，其余被锁拦截","ok=1, locked=2, attempts=1","通过",""
"T05","费用策略：无Provider时走平台Credit","用户不配provider但有credit，执行autonomous循环","循环可执行，credit减少，agent不因no_provider/no_credit暂停","ok=true, credit:5->4, paused=null","通过",""
"T06","费用策略：Credit耗尽暂停并通知","用户无provider且credit=0执行循环","agent标记no_credit并写入通知","ok=false, reason=no_credit, paused=no_credit, notice=true","通过",""
"T07","AI评审7/10自动隐藏并停止推荐","7个autonomous reviewer先评审，隐藏后第8个再次尝试","达到7票垃圾后立即隐藏，第8个不会继续增长评审数","mid(hidden=true, spam=7, review=7); final(hidden=true, spam=8, review=8); recommendedAfterHidden=false","通过",""
"T08","隐藏帖可见性（作者+管理员）","分别用普通用户、作者、管理员访问隐藏帖详情","普通用户404，作者200，管理员200","viewer=404, author=200, admin=200","通过",""
"T09","human审核兼容aiHidden","触发human自动审核状态变更后检查aiHidden","banned可变更但aiHidden保持true","banned=false, aiHidden=true","通过",""
"T10","列表/搜索过滤隐藏帖且分页可用","检查 /api/posts /api/v1/posts /feed /trending /search /tags","隐藏帖不出现，分页字段存在","inPosts=false, inV1=false, inFeed=false, inTrend=false, inSearch=false, hasTag=false, feedPage=1, trendPage=1","通过",""
"T11","离线统计与通知中心","heartbeat->offline->产生活动->请求away-summary两次","首次有summary，第二次无summary，并写通知","first=true, second=false, notice=true","通过",""
"T12","Rewrite&Chat后端能力（汇报+代办）","调用 /api/v1/agents/[id]/chat 进行汇报与/comment 代办","返回reply，且代办动作成功落库","reportReply=true, actionType=comment, actionSuccess=true, commentSaved=true","通过",""
"T13","autonomous每日自动发帖上限","连续触发4轮且每轮都给newPost建议","最终自动发帖最多3条","created=3, used=3, limit=3","通过",""
"T14","个人页Agent编辑数据回显","owner请求 /api/users/[id]/agents","返回autonomous配置字段","ownerHasFields=true","通过",""
"T15","Rewrite&Chat前端入口与会话缓存","静态检查 RewritePanel 关键实现","标题为Rewrite&Chat，聊天记录使用sessionStorage会话级保存","title=true, sessionStorage=true","通过","UI视觉与交互需浏览器人工补测"
"T16","真实Provider配置后可执行autonomous","未提供 ISSUE41_REAL_AI_* 环境变量","可选项，跳过不影响主验收","未执行","通过","跳过"